"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Shell Script", "JavaScript", "JSON with Comments", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/error.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 3, 37
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 6, 33
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/layout.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/learn-more/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 6, 24, 302
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/manage-index/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 3, 18, 168
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/not-found.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/page.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 5, 81
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/profile/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 564, 0, 3, 39, 606
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/terms/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 13, 109
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/components/ErrorMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 25
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/components/LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/components/navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 6, 13, 189
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/middleware.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 11, 48
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/auth.js", "JavaScript", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 23, 40, 259
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/axios.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/contact.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 5, 48
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/deposit-money.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/indexes.js", "JavaScript", 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 11, 27, 253
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/investments.js", "JavaScript", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 9, 22, 164
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/profile.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 6, 44
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/voting.js", "JavaScript", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 7, 21, 157
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/network/withdraw-money.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/vdemirev/Desktop/Biufet_No9/package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 46, 2958, 5615, 11, 268, 1001, 23, 142, 3230, 27, 339, 1112, 14772
